timestamp,ticker,action,actual_price,expected_price,slippage,actual_fee,calc_fee,fee_diff,qty,ts_diff
2025-12-23 13:15:32.180941,KXHIGHNY-25DEC23-B42.5,BUY_YES,6,6.0,0.0,0.01,0.01,0.0,1,0.0
2025-12-23 13:25:48.012156,KXHIGHNY-25DEC24-B46.5,BUY_YES,9,9.0,0.0,0.05,0.05,0.0,7,0.0
2025-12-23 13:25:48.012156,KXHIGHNY-25DEC24-B46.5,BUY_YES,9,9.0,0.0,0.05,0.05,0.0,7,0.0
2025-12-23 13:25:59.216519,KXHIGHNY-25DEC24-B46.5,BUY_YES,9,9.0,0.0,0.04,0.04,0.0,6,0.0
2025-12-23 13:25:59.216519,KXHIGHNY-25DEC24-B46.5,BUY_YES,9,9.0,0.0,0.04,0.04,0.0,6,0.0
2025-12-23 13:26:23.636385,KXHIGHNY-25DEC24-B46.5,BUY_YES,11,11.0,0.0,0.02,0.02,0.0,2,0.0
2025-12-23 13:26:23.636385,KXHIGHNY-25DEC24-B46.5,BUY_YES,11,11.0,0.0,0.03,0.03,0.0,3,0.0
2025-12-23 13:26:59.118334,KXHIGHNY-25DEC24-B46.5,BUY_YES,11,11.0,0.0,0.02,0.02,0.0,2,0.0
2025-12-23 13:26:59.118334,KXHIGHNY-25DEC24-B46.5,BUY_YES,11,11.0,0.0,0.02,0.02,0.0,2,0.0
2025-12-23 13:27:04.411969,KXHIGHNY-25DEC24-B46.5,BUY_YES,11,11.0,0.0,0.01,0.01,0.0,1,0.0
2025-12-23 13:27:04.411969,KXHIGHNY-25DEC24-B46.5,BUY_YES,11,11.0,0.0,0.01,0.01,0.0,1,0.0
2025-12-23 13:27:17.987371,KXHIGHNY-25DEC24-B46.5,BUY_YES,11,11.0,0.0,0.01,0.01,0.0,1,0.0
2025-12-23 13:27:17.987371,KXHIGHNY-25DEC24-B46.5,BUY_YES,11,11.0,0.0,0.01,0.01,0.0,1,0.0
2025-12-23 13:27:56.315181,KXHIGHNY-25DEC24-B46.5,BUY_YES,11,11.0,0.0,0.01,0.01,0.0,1,0.0
2025-12-23 13:27:56.315181,KXHIGHNY-25DEC24-B46.5,BUY_YES,11,11.0,0.0,0.01,0.01,0.0,1,0.0
2025-12-23 13:28:02.550106,KXHIGHNY-25DEC24-B46.5,BUY_YES,11,11.0,0.0,0.01,0.01,0.0,1,0.0
2025-12-23 13:28:02.550106,KXHIGHNY-25DEC24-B46.5,BUY_YES,11,11.0,0.0,0.01,0.01,0.0,1,0.0
2025-12-24 05:00:15.955590,KXHIGHNY-25DEC24-B42.5,BUY_YES,23,,,0.05,0.05,0.0,4,
2025-12-24 05:00:27.310810,KXHIGHNY-25DEC24-B42.5,BUY_YES,25,,,0.03,0.03,0.0,2,
2025-12-24 05:00:33.347923,KXHIGHNY-25DEC24-T47,BUY_NO,93,,,0.01,0.01,0.0,1,
2025-12-24 05:00:36.702633,KXHIGHNY-25DEC24-B42.5,BUY_YES,23,,,0.03,0.03,0.0,2,
2025-12-24 05:00:40.438722,KXHIGHNY-25DEC24-B42.5,BUY_YES,25,,,0.03,0.03,0.0,2,
2025-12-24 05:00:45.396596,KXHIGHNY-25DEC24-B42.5,BUY_YES,24,,,0.03,0.03,0.0,2,
2025-12-24 05:00:53.591706,KXHIGHNY-25DEC24-B42.5,BUY_YES,23,,,0.03,0.03,0.0,2,
2025-12-24 05:00:55.982617,KXHIGHNY-25DEC24-B44.5,BUY_NO,48,,,0.02,0.02,0.0,1,
2025-12-24 05:01:00.873948,KXHIGHNY-25DEC24-B42.5,BUY_YES,23,,,0.03,0.03,0.0,2,
2025-12-24 05:03:55.362987,KXHIGHNY-25DEC24-B42.5,BUY_YES,25,,,0.02,0.02,0.0,1,
2025-12-24 05:04:01.653569,KXHIGHNY-25DEC24-B42.5,BUY_YES,23,,,0.03,0.03,0.0,2,
2025-12-24 05:04:06.761235,KXHIGHNY-25DEC24-B42.5,BUY_YES,22,,,0.03,0.03,0.0,2,
2025-12-24 05:04:09.524452,KXHIGHNY-25DEC24-B42.5,BUY_YES,24,,,0.02,0.02,0.0,1,
2025-12-24 05:04:14.381832,KXHIGHNY-25DEC24-B42.5,BUY_YES,21,,,0.03,0.03,0.0,2,
2025-12-24 05:04:18.397695,KXHIGHNY-25DEC24-B42.5,BUY_YES,24,,,0.02,0.02,0.0,1,
2025-12-24 05:04:20.692009,KXHIGHNY-25DEC24-B42.5,BUY_YES,23,,,0.02,0.02,0.0,1,
2025-12-24 05:16:06.488214,KXHIGHNY-25DEC24-B44.5,BUY_NO,44,,,0.02,0.02,0.0,1,
2025-12-24 05:16:55.695207,KXHIGHNY-25DEC24-B44.5,BUY_NO,44,,,0.02,0.02,0.0,1,
2025-12-24 05:17:18.217871,KXHIGHNY-25DEC24-B44.5,BUY_NO,44,,,0.02,0.02,0.0,1,
2025-12-24 06:42:34.774943,KXHIGHNY-25DEC24-B42.5,BUY_YES,5,,,0.01,0.01,0.0,1,
2025-12-25 05:00:13.922918,KXHIGHNY-25DEC25-B47.5,BUY_YES,33,,,0.02,0.02,0.0,1,
2025-12-25 05:00:16.667729,KXHIGHNY-25DEC25-B47.5,BUY_YES,33,,,0.02,0.02,0.0,1,
2025-12-25 05:00:18.921215,KXHIGHNY-25DEC25-B45.5,BUY_YES,28,,,0.02,0.02,0.0,1,
2025-12-25 05:00:19.161629,KXHIGHNY-25DEC25-B47.5,BUY_YES,37,,,0.02,0.02,0.0,1,
2025-12-25 05:00:21.894847,KXHIGHNY-25DEC25-B45.5,BUY_YES,28,,,0.02,0.02,0.0,1,
2025-12-25 05:00:25.783807,KXHIGHNY-25DEC25-B45.5,BUY_YES,27,,,0.02,0.02,0.0,1,
2025-12-25 05:00:29.334586,KXHIGHNY-25DEC25-B45.5,BUY_YES,26,,,0.02,0.02,0.0,1,
2025-12-25 05:00:32.141765,KXHIGHNY-25DEC25-B45.5,BUY_YES,28,,,0.02,0.02,0.0,1,
2025-12-25 05:00:34.713833,KXHIGHNY-25DEC25-B45.5,BUY_YES,24,,,0.02,0.02,0.0,1,
2025-12-25 05:00:39.894042,KXHIGHNY-25DEC25-B45.5,BUY_YES,28,,,0.02,0.02,0.0,1,
2025-12-25 05:00:42.839823,KXHIGHNY-25DEC25-B45.5,BUY_YES,28,,,0.02,0.02,0.0,1,
2025-12-25 05:00:49.229124,KXHIGHNY-25DEC25-B45.5,BUY_YES,27,,,0.02,0.02,0.0,1,
2025-12-25 05:00:52.432831,KXHIGHNY-25DEC25-B45.5,BUY_YES,28,,,0.02,0.02,0.0,1,
2025-12-25 05:00:56.560813,KXHIGHNY-25DEC25-B45.5,BUY_YES,25,,,0.02,0.02,0.0,1,
2025-12-25 05:01:00.555815,KXHIGHNY-25DEC25-B45.5,BUY_YES,24,,,0.02,0.02,0.0,1,
2025-12-25 05:01:12.793254,KXHIGHNY-25DEC25-B45.5,BUY_YES,24,,,0.02,0.02,0.0,1,
2025-12-25 05:01:19.543108,KXHIGHNY-25DEC25-B45.5,BUY_YES,20,,,0.02,0.02,0.0,1,
2025-12-25 05:01:22.953723,KXHIGHNY-25DEC25-B45.5,BUY_YES,20,,,0.02,0.02,0.0,1,
2025-12-25 05:01:32.157610,KXHIGHNY-25DEC25-B45.5,BUY_YES,21,,,0.02,0.02,0.0,1,
2025-12-25 05:02:05.556355,KXHIGHNY-25DEC25-B45.5,BUY_YES,19,,,0.07,0.07,0.0,6,
2025-12-25 05:02:08.488148,KXHIGHNY-25DEC25-B45.5,BUY_YES,19,,,0.06,0.06,0.0,5,
2025-12-25 05:02:30.671858,KXHIGHNY-25DEC25-B47.5,BUY_YES,30,,,0.11,0.11,0.0,7,
2025-12-25 05:02:43.196127,KXHIGHNY-25DEC25-B47.5,BUY_YES,30,,,0.08,0.08,0.0,5,
2025-12-25 05:02:45.521252,KXHIGHNY-25DEC25-B47.5,BUY_YES,30,,,0.05,0.05,0.0,3,
2025-12-25 05:02:47.782750,KXHIGHNY-25DEC25-B47.5,BUY_YES,30,,,0.03,0.03,0.0,2,
2025-12-25 05:02:50.668222,KXHIGHNY-25DEC25-B47.5,BUY_YES,30,,,0.02,0.02,0.0,1,
2025-12-25 05:08:13.472543,KXHIGHNY-25DEC25-T48,BUY_YES,35,,,0.02,0.02,0.0,1,
2025-12-25 05:09:55.589989,KXHIGHNY-25DEC25-T48,BUY_YES,32,,,0.07,0.07,0.0,4,
2025-12-25 05:10:00.238309,KXHIGHNY-25DEC25-T48,BUY_YES,30,,,0.09,0.09,0.0,6,
2025-12-25 05:10:08.020642,KXHIGHNY-25DEC25-T48,BUY_YES,32,,,0.04,0.04,0.0,2,
2025-12-25 05:10:11.274780,KXHIGHNY-25DEC25-T48,BUY_YES,32,,,0.04,0.04,0.0,2,
2025-12-25 05:10:17.118653,KXHIGHNY-25DEC25-T48,BUY_YES,32,,,0.02,0.02,0.0,1,
2025-12-25 05:10:20.346554,KXHIGHNY-25DEC25-T48,BUY_YES,32,,,0.02,0.02,0.0,1,
2025-12-25 05:16:33.360041,KXHIGHNY-25DEC25-B47.5,BUY_YES,39,,,0.07,0.07,0.0,4,
2025-12-25 05:16:36.579364,KXHIGHNY-25DEC25-B47.5,BUY_YES,41,,,0.04,0.04,0.0,2,
2025-12-25 05:16:41.248672,KXHIGHNY-25DEC25-B47.5,BUY_YES,40,,,0.06,0.06,0.0,3,
2025-12-25 05:16:45.578144,KXHIGHNY-25DEC25-B47.5,BUY_YES,41,,,0.02,0.02,0.0,1,
2025-12-25 05:16:59.358172,KXHIGHNY-25DEC25-B47.5,BUY_YES,41,,,0.02,0.02,0.0,1,
2025-12-25 05:17:12.249144,KXHIGHNY-25DEC25-B47.5,BUY_YES,41,,,0.02,0.02,0.0,1,
2025-12-25 05:17:14.245326,KXHIGHNY-25DEC25-B47.5,BUY_YES,40,,,0.02,0.02,0.0,1,
2025-12-25 05:17:51.555631,KXHIGHNY-25DEC25-B47.5,BUY_YES,33,,,0.07,0.07,0.0,4,
2025-12-25 05:17:53.998115,KXHIGHNY-25DEC25-B47.5,BUY_YES,33,,,0.07,0.07,0.0,4,
2025-12-25 05:17:59.885985,KXHIGHNY-25DEC25-B47.5,BUY_YES,33,,,0.07,0.07,0.0,4,
2025-12-25 05:21:42.159638,KXHIGHNY-25DEC25-B45.5,BUY_YES,12,,,0.01,0.01,0.0,1,
2025-12-25 05:34:54.117747,KXHIGHNY-25DEC25-B43.5,BUY_YES,3,,,0.01,0.01,0.0,3,
2025-12-25 05:46:13.633587,KXHIGHNY-25DEC25-B43.5,BUY_YES,1,,,0.01,0.01,0.0,1,
2025-12-26 05:02:50.534376,KXHIGHNY-25DEC26-B27.5,BUY_YES,2,,,0.03,0.03,0.0,15,
2025-12-26 05:02:50.769132,KXHIGHNY-25DEC26-B29.5,BUY_YES,37,,,0.1,0.1,0.0,6,
2025-12-26 05:02:54.540865,KXHIGHNY-25DEC26-B29.5,BUY_YES,37,,,0.09,0.09,0.0,5,
2025-12-26 05:02:57.292297,KXHIGHNY-25DEC26-B29.5,BUY_YES,38,,,0.09,0.09,0.0,5,
2025-12-26 05:02:58.905554,KXHIGHNY-25DEC26-B29.5,BUY_YES,37,,,0.07,0.07,0.0,4,
2025-12-26 05:03:06.981011,KXHIGHNY-25DEC26-B29.5,BUY_YES,39,,,0.07,0.07,0.0,4,
2025-12-26 05:03:12.092819,KXHIGHNY-25DEC26-B29.5,BUY_YES,38,,,0.07,0.07,0.0,4,
2025-12-26 05:03:25.090953,KXHIGHNY-25DEC26-B29.5,BUY_YES,36,,,0.07,0.07,0.0,4,
2025-12-26 05:03:28.210358,KXHIGHNY-25DEC26-B29.5,BUY_YES,35,,,0.07,0.07,0.0,4,
2025-12-26 05:04:38.537195,KXHIGHNY-25DEC26-B29.5,BUY_YES,35,,,0.07,0.07,0.0,4,
2025-12-26 05:04:43.993222,KXHIGHNY-25DEC26-B29.5,BUY_YES,35,,,0.05,0.05,0.0,3,
2025-12-26 05:04:47.313117,KXHIGHNY-25DEC26-B29.5,BUY_YES,36,,,0.02,0.02,0.0,1,
2025-12-26 05:05:08.204936,KXHIGHNY-25DEC26-B29.5,BUY_YES,35,,,0.02,0.02,0.0,1,
2025-12-26 05:05:29.210649,KXHIGHNY-25DEC26-B29.5,BUY_YES,35,,,0.02,0.02,0.0,1,
2025-12-26 05:05:53.993601,KXHIGHNY-25DEC26-T34,BUY_NO,93,,,0.01,0.01,0.0,1,
2025-12-26 05:06:11.538429,KXHIGHNY-25DEC26-T34,BUY_NO,93,,,0.01,0.01,0.0,1,
2025-12-26 05:17:16.780482,KXHIGHNY-25DEC26-B33.5,BUY_YES,15,,,0.01,0.01,0.0,1,
2025-12-26 05:17:21.673132,KXHIGHNY-25DEC26-B33.5,BUY_YES,14,,,0.03,0.03,0.0,3,
2025-12-26 05:20:14.888998,KXHIGHNY-25DEC26-B33.5,BUY_YES,14,,,0.01,0.01,0.0,1,
2025-12-26 05:36:44.779689,KXHIGHNY-25DEC26-B33.5,BUY_YES,14,,,0.01,0.01,0.0,1,
2025-12-26 05:39:03.373311,KXHIGHNY-25DEC26-B33.5,BUY_YES,12,,,0.01,0.01,0.0,1,
2025-12-26 06:06:07.784369,KXHIGHNY-25DEC26-B29.5,BUY_YES,29,,,0.02,0.02,0.0,1,
2025-12-26 06:08:08.128159,KXHIGHNY-25DEC26-B29.5,BUY_YES,28,,,0.02,0.02,0.0,1,
2025-12-26 06:08:13.393428,KXHIGHNY-25DEC26-B29.5,BUY_YES,29,,,0.02,0.02,0.0,1,
2025-12-26 06:08:26.157680,KXHIGHNY-25DEC26-B29.5,BUY_YES,28,,,0.02,0.02,0.0,1,
2025-12-26 06:18:32.873501,KXHIGHNY-25DEC26-B33.5,BUY_YES,11,,,0.05,0.05,0.0,6,
2025-12-26 07:05:05.378613,KXHIGHNY-25DEC26-B31.5,BUY_NO,48,,,0.02,0.02,0.0,1,
2025-12-26 07:12:58.740997,KXHIGHNY-25DEC26-B33.5,BUY_YES,12,,,0.04,0.04,0.0,5,
2025-12-26 07:13:02.502699,KXHIGHNY-25DEC26-B33.5,BUY_YES,12,,,0.01,0.01,0.0,1,
2025-12-26 07:16:09.834659,KXHIGHNY-25DEC27-B35.5,BUY_YES,8,,,0.01,0.01,0.0,1,
2025-12-27 05:12:17.066459,KXHIGHNY-25DEC27-B31.5,BUY_NO,15,,,0.25,0.25,0.0,28,
2025-12-27 05:12:22.473286,KXHIGHNY-25DEC27-B31.5,BUY_NO,15,,,0.2,0.2,0.0,22,
2025-12-27 05:14:24.056704,KXHIGHNY-25DEC27-B31.5,BUY_NO,15,,,0.18,0.18,0.0,20,
2025-12-27 05:15:06.635824,KXHIGHNY-25DEC27-B31.5,BUY_NO,15,,,0.16,0.16,0.0,17,
2025-12-27 05:17:49.209763,KXHIGHNY-25DEC27-B35.5,BUY_YES,4,,,0.18,0.18,0.0,64,
2025-12-27 05:17:50.697457,KXHIGHNY-25DEC27-B35.5,BUY_YES,3,,,0.17,0.17,0.0,79,
2025-12-27 05:18:05.351749,KXHIGHNY-25DEC27-T36,BUY_YES,1,,,0.07,0.07,0.0,92,
2025-12-27 05:18:07.550676,KXHIGHNY-25DEC27-B35.5,BUY_YES,4,,,0.08,0.08,0.0,29,
2025-12-27 05:18:28.147656,KXHIGHNY-25DEC27-B31.5,BUY_NO,14,,,0.12,0.12,0.0,14,
2025-12-27 05:19:08.488547,KXHIGHNY-25DEC27-B31.5,BUY_NO,13,,,0.12,0.12,0.0,14,
2025-12-27 05:35:50.492490,KXHIGHNY-25DEC27-B35.5,BUY_YES,4,,,0.06,0.06,0.0,22,
2025-12-27 05:35:52.516286,KXHIGHNY-25DEC27-B31.5,BUY_NO,13,,,0.11,0.11,0.0,13,
2025-12-27 05:44:05.508466,KXHIGHNY-25DEC27-B35.5,BUY_YES,3,,,0.08,0.08,0.0,36,
2025-12-27 05:44:09.317854,KXHIGHNY-25DEC27-B33.5,BUY_YES,15,,,0.16,0.16,0.0,17,
2025-12-27 05:47:06.151947,KXHIGHNY-25DEC27-B31.5,BUY_NO,15,,,0.09,0.09,0.0,9,
2025-12-27 05:47:51.595683,KXHIGHNY-25DEC27-B31.5,BUY_NO,15,,,0.09,0.09,0.0,9,
2025-12-27 05:48:33.742578,KXHIGHNY-25DEC27-B31.5,BUY_NO,14,,,0.08,0.08,0.0,9,
2025-12-27 05:48:59.354667,KXHIGHNY-25DEC27-B33.5,BUY_YES,14,,,0.11,0.11,0.0,12,
2025-12-27 05:57:03.626373,KXHIGHNY-25DEC27-B33.5,BUY_YES,15,,,0.09,0.09,0.0,10,
2025-12-27 05:57:11.707311,KXHIGHNY-25DEC27-B35.5,BUY_YES,3,,,0.01,0.01,0.0,3,
